Aerolinea,Categoria_Negocio,Metrica_Extraida,Contexto_Limpiado
LATAM Airlines,Finanzas_y_Costos,22 ,"LATAM Airlines Group se formó tras la compra de LAN hacia la aerolínea brasileña TAM Linhas Aéreas, que se completó el 22 de junio de 2012.​ En agosto..."
LATAM Airlines,Finanzas_y_Costos,1995 ,"En agosto de 1995 fue adquirida y comprada por LAN Chile, autorizada por la Comisión Antimonopolios de Chile. TAM, por su parte, fue fundada el 21 de ..."
LATAM Airlines,Finanzas_y_Costos,22 ,La asociación se concretó finalmente el 22 de junio de 2012.​  En 2014 ambas compañías se transformaron en el primer grupo de aerolíneas de América en...
LATAM Airlines,Finanzas_y_Costos,26 ,"El 26 de septiembre del mismo año, se concretó la compra de un 20 % de LATAM de parte de Delta Airlines..."
LATAM Airlines,Finanzas_y_Costos,20 ,"En efecto, LATAM Airlines dejaría, tras 20 años, su participación en la alianza Oneworld, finalizando también su acuerdo de código compartido con Amer..."
LATAM Airlines,Operaciones_y_Flota,10 ,"El estudio se llevó a cabo con el apoyo de la consultora global líder en gestión de marcas Interbrand, en 10 países, 5 de ellos donde aerolíneas del G..."
LATAM Airlines,Operaciones_y_Flota,4,"Estos dos colores son acompañados por otros secundarios, que dan vida a la diversidad de América.  Pasajeros LATAM Airlines (código IATA LA) aerolínea..."
LATAM Airlines,Operaciones_y_Flota,59 ,"De ellos, 59 son Boeing de fuselaje ancho para vuelos de largo radio, 238 aparatos de fuselaje estrecho Airbus y otros  12 aviones Boeing 767 destinad..."
LATAM Airlines,Operaciones_y_Flota,15 ,Afortunadamente el pasajero no sufrió mayores complicaciones. El 15 de febrero de 2017 un Airbus A320 de LAN Argentina tuvo que aterrizar de emergenci...
Avianca,Operaciones_y_Flota,140 ,"Avianca es la aerolínea más grande de Colombia y la segunda más grande de América Latina, después de LATAM Airlines de Chile, con la operación de más ..."
Avianca,Operaciones_y_Flota,57 ,"En el primer vuelo, el piloto alemán Fritz Hammer transportó 57 cartas entre Barranquilla y Puerto Colombia a bordo de un Junkers F-13, que hizo parte..."
Avianca,Operaciones_y_Flota,1946 ,"En 1946 se establecieron las rutas hacia Quito, Lima, Ciudad de Panamá, Miami, Nueva York y algunas ciudades de Europa operadas en aviones DC-4 y DC-5..."
Avianca,Operaciones_y_Flota,1960 ,"En 1960 la aerolínea arrendó dos Boeing 720 para servir algunas rutas internacionales, al mismo tiempo que adquirió sus propios Boeing 727-100..."
Avianca,Operaciones_y_Flota,1976,"En 1976, se convirtió en la primera operadora en América Latina en usar de continuo un Boeing 747.Con la inauguración del Terminal Puente Aéreo en 198..."
Avianca,Finanzas_y_Costos,1993 ,"Finalmente, en 1993 se compraron 10 Fokker 50 para vuelos nacionales cortos.En 1994 se estableció una alianza estratégica​ con SAM (Sociedad Aeronáuti..."
